Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1652.854163532875
FDW14,OUT017,1306.638282030443
NCN55,OUT010,843.2720583418458
FDQ58,OUT017,2325.8562896757317
FDY38,OUT027,5437.774504448617
FDH56,OUT046,1679.595841575291
FDL48,OUT018,773.8296885409073
FDC48,OUT027,2146.853875336162
FDN33,OUT045,1453.2210666491649
FDA36,OUT017,3030.092431139316
FDT44,OUT017,1705.484342418374
FDQ56,OUT045,1269.86727561624
NCC54,OUT019,844.5082457768365
FDU11,OUT049,1927.2916612984488
DRL59,OUT013,882.8125395298692
FDM24,OUT049,2328.393366604822
FDI57,OUT045,2983.8573418762508
DRC12,OUT018,2426.0643480919985
NCM42,OUT027,2802.122451574123
FDA46,OUT010,532.3454398334402
FDA31,OUT013,2571.100419669712
NCJ31,OUT035,3769.8964640744402
FDG52,OUT046,834.5816675073312
NCL19,OUT019,292.61749590234456
FDS10,OUT035,2750.6125755842704
FDX22,OUT010,744.9033037204772
NCF19,OUT035,839.9916315350126
NCE06,OUT046,2513.809765164353
DRC27,OUT046,3735.3147873824937
FDE21,OUT035,1677.551012244836
NCR42,OUT019,16.527621075177624
FDX51,OUT018,2520.3467415550335
NCR06,OUT018,597.6661642661982
FDU31,OUT027,5104.77087803823
FDU59,OUT017,2584.8394680336373
FDR03,OUT027,4781.612266202365
FDS49,OUT027,2119.9408128620857
FDD48,OUT010,188.0605708760548
NCF18,OUT017,2843.1168041023398
NCD43,OUT027,2550.0797588898226
NCD54,OUT018,1817.66702964715
FDY19,OUT010,223.30162430199704
NCY54,OUT017,2536.4860649833345
NCL19,OUT018,1726.195668981374
FDP23,OUT010,781.8710929239481
FDC26,OUT013,1520.4675711924153
FDR14,OUT010,46.932841049668255
NCS41,OUT035,2668.2673297919137
FDF41,OUT035,3896.1673149823296
FDU34,OUT046,1835.2525675005732
DRH11,OUT046,938.4019371075833
FDM03,OUT013,1444.8908821203506
FDS31,OUT017,2646.2983873287267
FDJ20,OUT017,1885.4468429921762
FDV44,OUT027,4484.716825095206
FDG02,OUT049,2837.9271317862544
FDA09,OUT013,2531.6970831288977
FDT04,OUT013,749.8187586766553
FDL58,OUT019,1270.5700929836755
FDE52,OUT045,1307.2223606465643
FDW12,OUT035,2176.6861691302747
FDL51,OUT017,3383.6188503748613
NCY42,OUT027,3480.0647675926907
FDR07,OUT017,1539.1156525638714
FDN40,OUT045,2348.841350040505
FDB35,OUT027,2329.6645287450965
FDA22,OUT017,2474.2847236069115
NCL06,OUT046,4110.417027743254
FDI35,OUT013,2531.4400284235153
NCW42,OUT045,3332.050155832517
NCX06,OUT049,2597.366054130173
FDC37,OUT027,2681.356953947937
FDZ14,OUT018,1500.2830400397024
DRG49,OUT049,3916.545348572455
NCG06,OUT045,3975.928860904562
DRC36,OUT045,2483.001301206602
FDV21,OUT019,216.78674329429188
FDB53,OUT046,2087.374898089953
DRP47,OUT019,917.4846747541128
FDA14,OUT013,2004.43719525735
DRC24,OUT035,2256.265657905122
FDW21,OUT018,1342.7826340993633
NCH29,OUT046,1510.253968060262
FDU58,OUT013,2933.5091538595366
FDY27,OUT017,2782.9370955730465
FDV56,OUT035,1650.7217394731636
FDT59,OUT046,3502.025972003101
FDB23,OUT046,3554.3927911923006
FDR49,OUT045,770.0126849562918
FDB03,OUT010,880.832688095823
FDN39,OUT045,2466.0781502839945
FDX02,OUT027,5134.977698942035
FDQ16,OUT027,2792.1525768524916
FDU35,OUT018,1222.7752209614275
NCT29,OUT013,1642.1223725993336
FDZ27,OUT046,815.3624726989082
FDN57,OUT017,2059.125448870364
FDA03,OUT018,1822.4796133580053
FDZ36,OUT045,2985.4969869755
NCU05,OUT013,1134.0994542652359
FDT39,OUT018,1998.5718268822238
FDK60,OUT017,1468.1163640791221
FDZ25,OUT017,2491.927797448609
FDG12,OUT046,1871.5560965019615
DRB01,OUT019,568.5425673405429
NCC43,OUT027,6147.022463359546
FDX13,OUT019,995.2600793380433
FDM22,OUT049,896.2601237826715
FDJ03,OUT027,1614.5627215780953
FDU14,OUT018,3403.4234968002042
FDB33,OUT010,380.9237276070948
FDP27,OUT046,2862.4383721029794
FDO38,OUT010,100.37451307976234
FDE28,OUT027,5508.607636207445
FDO27,OUT035,1491.805472132572
DRL23,OUT027,2724.2631751778804
FDS28,OUT046,919.0862129155428
FDX24,OUT013,1306.7954974571744
FDZ02,OUT035,1491.1586781192027
FDL46,OUT045,1761.0136316125772
FDS60,OUT027,4277.781901437158
NCO06,OUT017,756.3985781888862
FDO16,OUT035,1375.9617955819506
FDC60,OUT049,1369.8780763317989
FDA48,OUT018,2834.399393657268
FDZ36,OUT027,4690.700521494788
FDK27,OUT045,1683.804696603093
FDW23,OUT018,566.1296258860094
FDM14,OUT018,1301.5941982025045
FDM14,OUT013,1498.6074778085392
FDW60,OUT018,2530.3363572746844
FDE21,OUT013,1586.0873319192622
NCM42,OUT035,1682.487712608353
FDY59,OUT010,133.74824967387983
DRI49,OUT049,1165.1827460731065
FDT28,OUT019,323.8039784608014
FDQ22,OUT018,624.2462515392145
FDR60,OUT049,1128.3107993478397
FDC50,OUT019,136.39368779402335
FDV24,OUT013,2307.31207159153
DRF48,OUT010,614.1243083876981
FDQ47,OUT046,692.4859564842938
DRN36,OUT049,1380.9912032490477
NCY06,OUT035,1850.1388275038669
FDE52,OUT035,1344.8500574410607
NCB54,OUT045,1777.3210214475619
NCF31,OUT035,2215.5920531028437
FDJ08,OUT027,4313.262778100031
NCC07,OUT017,1615.2594554013122
NCD19,OUT027,1650.4966334529422
FDL46,OUT049,1773.2953894611887
FDM20,OUT045,3838.9111052783564
NCI06,OUT010,461.0050632161735
DRM11,OUT035,4513.596993344244
NCH07,OUT018,1870.9144017049632
FDS23,OUT013,2032.1942165919315
FDO49,OUT018,661.7235725473424
FDS35,OUT049,969.6569544471864
DRK39,OUT045,1213.3133386250372
DRI39,OUT049,909.1529068349835
FDV04,OUT017,2358.1446995230554
NCN14,OUT035,2743.1743336783675
FDH08,OUT013,3637.4680767323653
FDS20,OUT046,2704.0726591468956
FDV40,OUT049,1179.7400094006543
FDZ48,OUT010,192.1455473283529
FDS24,OUT027,2502.161627534254
FDK44,OUT049,2472.1184659033506
FDS48,OUT045,2128.314345148738
FDK26,OUT010,641.1979133704266
FDD23,OUT045,2792.6557719835655
NCH54,OUT017,2276.53095261187
NCP14,OUT010,164.19825218849812
FDM60,OUT010,27.92446459555325
FDV24,OUT017,2375.986444914992
FDH08,OUT018,3192.995538050012
FDS12,OUT027,3010.3230775997677
FDR39,OUT027,4268.725043601954
FDP12,OUT027,1387.9953000641074
DRF60,OUT027,5481.558840858187
FDC09,OUT035,1554.7207915783445
FDF50,OUT018,2932.2656971820006
FDG28,OUT035,3981.0444831528225
NCE19,OUT017,880.2905774673764
NCM53,OUT010,187.61848219194422
NCN18,OUT049,1528.6407703889583
FDF32,OUT035,2981.32351852024
FDF11,OUT013,3687.4580424287938
DRI59,OUT049,3398.486511351532
NCG54,OUT035,2437.300893479509
FDM44,OUT046,1444.3421999285858
FDT57,OUT018,3137.967544855908
FDV24,OUT046,2371.122821685571
FDI50,OUT019,826.4542461467851
FDS09,OUT035,881.7546893405655
NCC31,OUT027,3644.6004127802166
FDQ07,OUT019,703.9787114714736
FDC22,OUT017,3034.4508182539125
FDZ56,OUT046,2451.5781796585266
FDZ40,OUT019,45.08794676045647
FDS46,OUT027,2964.6140775423546
DRD24,OUT045,1952.0964166906315
FDV45,OUT017,2789.746712894504
FDL26,OUT045,2248.530522025433
FDA56,OUT018,1457.3868319298235
FDN27,OUT046,1808.3168580813663
FDM20,OUT049,3790.0785477711734
FDO16,OUT017,1324.5493894258175
FDL03,OUT035,3043.6874707466554
FDE58,OUT046,1738.581490084608
FDI02,OUT027,2784.4757273138666
NCC55,OUT019,23.959322407097858
FDR03,OUT018,2668.236752920873
FDB14,OUT017,1490.185256271428
FDR45,OUT013,3649.8887907401795
NCN07,OUT017,1905.7202474147098
FDM51,OUT019,156.47998492143276
FDT52,OUT027,5873.191213104908
FDL26,OUT046,2251.0191568627815
NCZ42,OUT046,3704.6132458871034
DRI47,OUT019,302.5871863591538
FDW40,OUT013,1955.2696301751807
FDN34,OUT046,2480.398897392038
FDS01,OUT035,2624.7377628693434
NCG55,OUT045,1649.668642276456
FDC11,OUT035,1421.6720050234535
FDX35,OUT018,3515.3945698667326
NCB06,OUT046,2313.7939130912036
FDR09,OUT019,1011.689230125769
FDC53,OUT017,1414.8576058984743
FDY45,OUT013,3936.445308253786
FDA22,OUT010,438.4236838749795
FDE02,OUT035,1398.6967621617373
FDW21,OUT045,1609.0073776682991
FDV34,OUT046,1132.8174883563952
FDS59,OUT049,1559.6348205749453
NCW17,OUT017,1869.8542796522688
NCK54,OUT046,1640.6309353790514
FDG17,OUT019,1020.0337798587987
FDG35,OUT017,2690.042977021317
FDD08,OUT010,23.238936893000094
NCO07,OUT017,3221.242262934009
FDJ10,OUT010,374.8907125827775
FDW36,OUT017,1477.3957027251072
FDW21,OUT010,193.29683044127603
FDY19,OUT017,1780.0958382061278
DRE03,OUT013,877.3397242024683
NCC55,OUT049,677.9018116128404
FDH52,OUT010,64.99305907317459
FDO09,OUT017,4232.504281715817
FDU43,OUT045,3766.2451572452946
FDX09,OUT010,453.735388255082
FDH40,OUT019,105.17629961518084
FDW58,OUT017,1645.3011864881164
FDC47,OUT017,3429.4194370533833
NCR41,OUT035,1458.5760260251393
DRG49,OUT035,4024.1313511221
FDC52,OUT027,3565.576455462101
FDY13,OUT046,1122.0894554230547
FDY35,OUT013,839.7468822671439
FDI35,OUT017,2622.143748392972
NCU18,OUT049,1956.548975465648
FDY33,OUT018,1930.1164747675834
FDC15,OUT027,3674.850876597842
FDU01,OUT049,2836.961959856815
NCU42,OUT046,2466.485038514981
NCV29,OUT018,2160.0770099223646
NCY30,OUT017,2756.8338701907774
FDQ46,OUT049,1596.4404585613188
FDG58,OUT027,3584.0461108733653
FDK33,OUT017,3250.95554366453
NCD07,OUT045,1611.0677573240823
NCX29,OUT027,3323.2862869154565
NCT42,OUT013,2221.900457134755
DRN59,OUT035,843.6533889677344
FDI44,OUT035,1233.8618903292927
FDA45,OUT049,2655.419040040207
FDP31,OUT045,1159.1970884327511
FDY01,OUT046,1638.5454805432887
FDT09,OUT018,1617.46894095403
DRH03,OUT027,2454.0426490123386
FDA36,OUT018,2589.2077920243833
NCF31,OUT017,2192.4965070284097
FDG14,OUT049,2174.028046087036
FDG28,OUT027,5918.321090027389
FDU14,OUT049,3868.6328531143317
FDY47,OUT019,260.2476852779147
FDI56,OUT049,1302.8382255933032
DRD01,OUT013,883.8172144786574
FDM22,OUT046,938.8822135903399
FDH33,OUT013,728.0857995381447
DRZ24,OUT013,1647.3806583957344
NCQ38,OUT046,1537.6769257389365
FDO16,OUT027,2348.9472215370315
FDU07,OUT027,3427.8343881590363
NCB07,OUT013,2818.912338739508
FDU48,OUT045,1929.8146868835713
NCM43,OUT045,2326.6894875751077
FDR31,OUT010,348.7337985276815
DRK49,OUT018,596.6080084541605
NCI30,OUT010,909.645832579197
DRD60,OUT017,2620.317588235092
NCG19,OUT046,3663.478384124335
FDH12,OUT035,1521.2217554930662
FDM32,OUT035,1492.3303325132617
FDM27,OUT035,2262.0335881702117
NCU53,OUT027,4172.967429323204
NCQ18,OUT046,1431.7173733020898
FDS10,OUT013,2599.1651786034845
FDB33,OUT027,3704.4884387127504
FDI12,OUT013,1222.0548900470071
NCW42,OUT013,3267.245150633372
NCC06,OUT018,1582.5904442071837
FDW02,OUT017,2070.9179550558188
NCD43,OUT017,1492.7844917167172
FDM57,OUT018,1001.7765116384024
FDA58,OUT017,3708.2524880441074
FDK56,OUT046,2697.5461565483174
FDP52,OUT045,3595.462793484279
FDW20,OUT018,1574.8432674527646
FDS52,OUT049,1426.4703699557954
NCT29,OUT018,1381.9452453687863
NCL54,OUT013,2431.821071274326
FDC05,OUT045,2906.9052019147666
FDF34,OUT035,3050.1838666754247
FDP03,OUT027,3286.507640922825
FDD32,OUT010,122.30099653366794
FDZ10,OUT045,1845.8205508978656
FDZ40,OUT035,900.2773481226769
FDD51,OUT018,592.5331102785582
NCY30,OUT019,495.4381301842993
FDP58,OUT017,3267.954685784031
FDV49,OUT017,4287.789923007376
FDY24,OUT019,54.60987798534094
NCO55,OUT017,1504.3975325265833
FDR13,OUT017,1688.145699927159
FDS51,OUT017,987.8825613080148
FDP26,OUT045,1488.6256655658024
NCB54,OUT027,3052.89993729998
FDF32,OUT017,2903.204133887339
FDN31,OUT018,2334.1925635625034
DRM48,OUT017,720.9994730864238
FDN20,OUT049,2470.8838472041825
DRL01,OUT046,3663.3173306525946
FDV56,OUT049,1563.7623592505652
DRH13,OUT027,2637.0894061783642
FDA03,OUT017,2170.479315560648
FDF47,OUT027,5301.154414808621
FDX32,OUT046,2105.487068465813
FDX57,OUT049,1446.5293962225235
NCA30,OUT045,2794.151830115637
FDO49,OUT013,806.6145596469134
FDL04,OUT019,180.04700029033373
DRM48,OUT035,750.8257318038145
FDR16,OUT013,3481.767988629882
NCC19,OUT018,2583.665860726078
NCE42,OUT045,3701.151383458023
FDY24,OUT017,979.9910812480764
FDH19,OUT049,2569.949316929024
FDJ46,OUT013,2417.7393851795277
FDN45,OUT010,758.3439499340456
FDY08,OUT035,2041.1395972193793
FDZ37,OUT035,1336.4685987435394
NCT30,OUT045,776.8651344776183
DRY23,OUT018,580.0672506429502
NCZ30,OUT018,1504.8376095645754
FDC44,OUT018,1331.937010964871
FDB45,OUT035,1666.7062456974086
FDY04,OUT013,2350.7099064103295
FDM27,OUT046,2266.1506572150665
FDZ43,OUT017,3785.89876317142
FDT39,OUT019,389.44498159014256
NCC06,OUT019,251.5531981724471
FDL15,OUT027,3612.0085125168976
FDL57,OUT017,4097.027697355956
FDU08,OUT046,1407.83900125408
FDK40,OUT017,4548.764929498273
FDQ12,OUT010,765.6183269894298
FDS48,OUT017,2165.8630532750535
FDP09,OUT045,3232.2722533321758
FDW21,OUT049,1568.4373790357856
FDY25,OUT035,2661.140962795199
DRE13,OUT017,1306.5015164222093
FDV43,OUT019,35.99859667123596
FDD22,OUT045,1555.846169107167
FDM46,OUT019,129.75553657906133
NCO30,OUT010,520.7286843915334
FDM25,OUT046,2533.403157363316
NCN41,OUT049,1734.1141021266649
FDU24,OUT045,1398.234335428093
FDZ50,OUT046,2680.4809306597826
FDP45,OUT013,3881.2628787493704
NCM54,OUT045,1806.7517610379666
FDW10,OUT019,484.29610029214484
FDP20,OUT017,1915.9570587569322
FDK32,OUT046,2200.9147249725843
FDN52,OUT049,1262.406437791978
FDM58,OUT045,1631.344149523241
FDZ46,OUT027,2747.6480839915516
NCA18,OUT018,1354.1597344472025
FDD35,OUT046,1713.1071613316506
NCK31,OUT035,843.7464278693803
FDI40,OUT027,2508.1834765362273
FDT50,OUT019,154.9154496297425
NCT06,OUT046,2380.461729154193
FDT31,OUT035,2887.860919136607
FDT45,OUT049,900.6705067920843
FDT13,OUT045,2705.0770834774594
FDO50,OUT045,1341.8825611822444
NCU18,OUT010,282.9607099157859
NCR54,OUT049,2798.893511646454
NCO18,OUT018,2165.5865564114474
FDU09,OUT045,915.0814162781971
FDT13,OUT018,2335.0232495693076
FDE09,OUT046,1606.140860160314
NCK53,OUT019,144.46777689258502
FDG45,OUT049,3239.9582644382026
DRH15,OUT035,776.8987969431965
FDO21,OUT019,757.0085896903042
FDD14,OUT027,4358.46500282414
FDC09,OUT046,1524.2142445346128
FDH45,OUT027,1569.5715602555188
FDV32,OUT046,1004.5755055423684
FDG12,OUT035,1859.568402220122
FDS32,OUT013,2007.4766546791525
NCL55,OUT018,3375.570306250511
DRE01,OUT035,3826.251026195475
DRE15,OUT049,1120.7217997093312
NCL42,OUT045,3839.633470445899
FDP31,OUT013,1110.01325270689
FDN33,OUT018,1180.2008253660065
FDZ59,OUT046,2557.3371304715797
FDE45,OUT010,452.0781998656191
FDJ07,OUT013,1681.2270464744886
FDQ45,OUT018,2364.941631393155
