Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1613.7949494732393
FDW14,OUT017,1273.7510595245035
NCN55,OUT010,563.9924035517666
FDQ58,OUT017,2439.6099393882596
FDY38,OUT027,5952.320066336999
FDH56,OUT046,1613.7949494732393
FDL48,OUT018,785.8659531450472
FDC48,OUT027,2152.8996341353186
FDN33,OUT045,1273.7510595245035
FDA36,OUT017,2965.432169893039
FDT44,OUT017,1613.7949494732393
FDQ56,OUT045,1273.7510595245035
NCC54,OUT019,563.9924035517666
FDU11,OUT049,1907.9810509173692
DRL59,OUT013,785.8659531450472
FDM24,OUT049,2439.6099393882596
FDI57,OUT045,2965.432169893039
DRC12,OUT018,2965.432169893039
NCM42,OUT027,2663.940155555628
FDA46,OUT010,417.7456424616393
FDA31,OUT013,2439.6099393882596
NCJ31,OUT035,3635.4715226358394
FDG52,OUT046,785.8659531450472
NCL19,OUT019,267.3424754036661
FDS10,OUT035,2965.432169893039
FDX22,OUT010,468.49192814259334
NCF19,OUT035,785.8659531450472
NCE06,OUT046,2439.6099393882596
DRC27,OUT046,3635.4715226358394
FDE21,OUT035,1613.7949494732393
NCR42,OUT019,75.3142853984132
FDX51,OUT018,2965.432169893039
NCR06,OUT018,552.9162240223792
FDU31,OUT027,5052.595709825751
FDU59,OUT017,2439.6099393882596
FDR03,OUT027,5052.595709825751
FDS49,OUT027,2152.8996341353186
FDD48,OUT010,267.3424754036661
NCF18,OUT017,2965.432169893039
NCD43,OUT027,2663.940155555628
NCD54,OUT018,1907.9810509173692
FDY19,OUT010,267.3424754036661
NCY54,OUT017,2439.6099393882596
NCL19,OUT018,2439.6099393882596
FDP23,OUT010,468.49192814259334
FDC26,OUT013,1613.7949494732393
FDR14,OUT010,151.50212618545805
NCS41,OUT035,2965.432169893039
FDF41,OUT035,3635.4715226358394
FDU34,OUT046,1907.9810509173692
DRH11,OUT046,785.8659531450472
FDM03,OUT013,1613.7949494732393
FDS31,OUT017,2965.432169893039
FDJ20,OUT017,1907.9810509173692
FDV44,OUT027,5052.595709825751
FDG02,OUT049,2965.432169893039
FDA09,OUT013,2439.6099393882596
FDT04,OUT013,552.9162240223792
FDL58,OUT019,468.49192814259334
FDE52,OUT045,1273.7510595245035
FDW12,OUT035,2439.6099393882596
FDL51,OUT017,2965.432169893039
NCY42,OUT027,3308.521497865687
FDR07,OUT017,1273.7510595245035
FDN40,OUT045,2439.6099393882596
FDB35,OUT027,2663.940155555628
FDA22,OUT017,2439.6099393882596
NCL06,OUT046,3635.4715226358394
FDI35,OUT013,2965.432169893039
NCW42,OUT045,3635.4715226358394
NCX06,OUT049,2439.6099393882596
FDC37,OUT027,2663.940155555628
FDZ14,OUT018,1907.9810509173692
DRG49,OUT049,3635.4715226358394
NCG06,OUT045,3635.4715226358394
DRC36,OUT045,2439.6099393882596
FDV21,OUT019,267.3424754036661
FDB53,OUT046,2439.6099393882596
DRP47,OUT019,563.9924035517666
FDA14,OUT013,2439.6099393882596
DRC24,OUT035,2439.6099393882596
FDW21,OUT018,1613.7949494732393
NCH29,OUT046,1273.7510595245035
FDU58,OUT013,2965.432169893039
FDY27,OUT017,2439.6099393882596
FDV56,OUT035,1613.7949494732393
FDT59,OUT046,3635.4715226358394
FDB23,OUT046,3635.4715226358394
FDR49,OUT045,785.8659531450472
FDB03,OUT010,563.9924035517666
FDN39,OUT045,2439.6099393882596
FDX02,OUT027,5952.320066336999
FDQ16,OUT027,2663.940155555628
FDU35,OUT018,1273.7510595245035
NCT29,OUT013,1907.9810509173692
FDZ27,OUT046,785.8659531450472
FDN57,OUT017,1907.9810509173692
FDA03,OUT018,2439.6099393882596
FDZ36,OUT045,2965.432169893039
NCU05,OUT013,1273.7510595245035
FDT39,OUT018,2439.6099393882596
FDK60,OUT017,1273.7510595245035
FDZ25,OUT017,2439.6099393882596
FDG12,OUT046,1907.9810509173692
DRB01,OUT019,417.7456424616393
NCC43,OUT027,5952.320066336999
FDX13,OUT019,468.49192814259334
FDM22,OUT049,785.8659531450472
FDJ03,OUT027,1585.4412868206286
FDU14,OUT018,3635.4715226358394
FDB33,OUT010,407.33248911983816
FDP27,OUT046,2965.432169893039
FDO38,OUT010,170.1374155504466
FDE28,OUT027,5952.320066336999
FDO27,OUT035,1273.7510595245035
DRL23,OUT027,2663.940155555628
FDS28,OUT046,785.8659531450472
FDX24,OUT013,1273.7510595245035
FDZ02,OUT035,1273.7510595245035
FDL46,OUT045,1613.7949494732393
FDS60,OUT027,4206.730959331083
NCO06,OUT017,552.9162240223792
FDO16,OUT035,1273.7510595245035
FDC60,OUT049,1273.7510595245035
FDA48,OUT018,3635.4715226358394
FDZ36,OUT027,5052.595709825751
FDK27,OUT045,1907.9810509173692
FDW23,OUT018,552.9162240223792
FDM14,OUT018,1613.7949494732393
FDM14,OUT013,1613.7949494732393
FDW60,OUT018,2439.6099393882596
FDE21,OUT013,1613.7949494732393
NCM42,OUT035,1613.7949494732393
FDY59,OUT010,170.1374155504466
DRI49,OUT049,1273.7510595245035
FDT28,OUT019,326.1184794632212
FDQ22,OUT018,552.9162240223792
FDR60,OUT049,1273.7510595245035
FDC50,OUT019,213.85150899428308
FDV24,OUT013,2439.6099393882596
DRF48,OUT010,684.5297048499073
FDQ47,OUT046,552.9162240223792
DRN36,OUT049,1273.7510595245035
NCY06,OUT035,1907.9810509173692
FDE52,OUT035,1273.7510595245035
NCB54,OUT045,1907.9810509173692
NCF31,OUT035,2439.6099393882596
FDJ08,OUT027,5052.595709825751
NCC07,OUT017,1613.7949494732393
NCD19,OUT027,1585.4412868206286
FDL46,OUT049,1613.7949494732393
FDM20,OUT045,3635.4715226358394
NCI06,OUT010,326.1184794632212
DRM11,OUT035,3635.4715226358394
NCH07,OUT018,2439.6099393882596
FDS23,OUT013,1907.9810509173692
FDO49,OUT018,785.8659531450472
FDS35,OUT049,785.8659531450472
DRK39,OUT045,1273.7510595245035
DRI39,OUT049,785.8659531450472
FDV04,OUT017,2439.6099393882596
NCN14,OUT035,2965.432169893039
FDH08,OUT013,3635.4715226358394
FDS20,OUT046,2965.432169893039
FDV40,OUT049,1273.7510595245035
FDZ48,OUT010,267.3424754036661
FDS24,OUT027,2152.8996341353186
FDK44,OUT049,2439.6099393882596
FDS48,OUT045,2439.6099393882596
FDK26,OUT010,684.5297048499073
FDD23,OUT045,2965.432169893039
NCH54,OUT017,2439.6099393882596
NCP14,OUT010,170.1374155504466
FDM60,OUT010,75.3142853984132
FDV24,OUT017,2439.6099393882596
FDH08,OUT018,3635.4715226358394
FDS12,OUT027,3308.521497865687
FDR39,OUT027,5052.595709825751
FDP12,OUT027,923.4921599779411
DRF60,OUT027,5952.320066336999
FDC09,OUT035,1613.7949494732393
FDF50,OUT018,2965.432169893039
FDG28,OUT035,3635.4715226358394
NCE19,OUT017,785.8659531450472
NCM53,OUT010,267.3424754036661
NCN18,OUT049,1613.7949494732393
FDF32,OUT035,2965.432169893039
FDF11,OUT013,3635.4715226358394
DRI59,OUT049,3635.4715226358394
NCG54,OUT035,2439.6099393882596
FDM44,OUT046,1613.7949494732393
FDT57,OUT018,3635.4715226358394
FDV24,OUT046,2439.6099393882596
FDI50,OUT019,468.49192814259334
FDS09,OUT035,785.8659531450472
NCC31,OUT027,4206.730959331083
FDQ07,OUT019,563.9924035517666
FDC22,OUT017,2965.432169893039
FDZ56,OUT046,2439.6099393882596
FDZ40,OUT019,120.67225803266103
FDS46,OUT027,2663.940155555628
DRD24,OUT045,1907.9810509173692
FDV45,OUT017,2965.432169893039
FDL26,OUT045,2439.6099393882596
FDA56,OUT018,1907.9810509173692
FDN27,OUT046,1613.7949494732393
FDM20,OUT049,3635.4715226358394
FDO16,OUT017,1273.7510595245035
FDL03,OUT035,2965.432169893039
FDE58,OUT046,1613.7949494732393
FDI02,OUT027,2663.940155555628
NCC55,OUT019,75.3142853984132
FDR03,OUT018,2965.432169893039
FDB14,OUT017,1273.7510595245035
FDR45,OUT013,3635.4715226358394
NCN07,OUT017,1907.9810509173692
FDM51,OUT019,213.85150899428308
FDT52,OUT027,5952.320066336999
FDL26,OUT046,2439.6099393882596
NCZ42,OUT046,3635.4715226358394
DRI47,OUT019,407.33248911983816
FDW40,OUT013,1907.9810509173692
FDN34,OUT046,2439.6099393882596
FDS01,OUT035,2439.6099393882596
NCG55,OUT045,1613.7949494732393
FDC11,OUT035,1273.7510595245035
FDX35,OUT018,3635.4715226358394
NCB06,OUT046,2439.6099393882596
FDR09,OUT019,563.9924035517666
FDC53,OUT017,1273.7510595245035
FDY45,OUT013,3635.4715226358394
FDA22,OUT010,326.1184794632212
FDE02,OUT035,1273.7510595245035
FDW21,OUT045,1613.7949494732393
FDV34,OUT046,1273.7510595245035
FDS59,OUT049,1613.7949494732393
NCW17,OUT017,1907.9810509173692
NCK54,OUT046,1613.7949494732393
FDG17,OUT019,468.49192814259334
FDG35,OUT017,2439.6099393882596
FDD08,OUT010,75.3142853984132
NCO07,OUT017,2965.432169893039
FDJ10,OUT010,217.070357833043
FDW36,OUT017,1613.7949494732393
FDW21,OUT010,170.1374155504466
FDY19,OUT017,1613.7949494732393
DRE03,OUT013,785.8659531450472
NCC55,OUT049,552.9162240223792
FDH52,OUT010,120.67225803266103
FDO09,OUT017,3635.4715226358394
FDU43,OUT045,3635.4715226358394
FDX09,OUT010,326.1184794632212
FDH40,OUT019,213.85150899428308
FDW58,OUT017,1613.7949494732393
FDC47,OUT017,3635.4715226358394
NCR41,OUT035,1273.7510595245035
DRG49,OUT035,3635.4715226358394
FDC52,OUT027,3308.521497865687
FDY13,OUT046,1273.7510595245035
FDY35,OUT013,552.9162240223792
FDI35,OUT017,2965.432169893039
NCU18,OUT049,1907.9810509173692
FDY33,OUT018,2439.6099393882596
FDC15,OUT027,4206.730959331083
FDU01,OUT049,2965.432169893039
NCU42,OUT046,2439.6099393882596
NCV29,OUT018,2439.6099393882596
NCY30,OUT017,2965.432169893039
FDQ46,OUT049,1613.7949494732393
FDG58,OUT027,4206.730959331083
FDK33,OUT017,2965.432169893039
NCD07,OUT045,1613.7949494732393
NCX29,OUT027,3308.521497865687
NCT42,OUT013,2439.6099393882596
DRN59,OUT035,785.8659531450472
FDI44,OUT035,1273.7510595245035
FDA45,OUT049,2439.6099393882596
FDP31,OUT045,785.8659531450472
FDY01,OUT046,1613.7949494732393
FDT09,OUT018,1907.9810509173692
DRH03,OUT027,2663.940155555628
FDA36,OUT018,2965.432169893039
NCF31,OUT017,2439.6099393882596
FDG14,OUT049,2439.6099393882596
FDG28,OUT027,5952.320066336999
FDU14,OUT049,3635.4715226358394
FDY47,OUT019,217.070357833043
FDI56,OUT049,1273.7510595245035
DRD01,OUT013,785.8659531450472
FDM22,OUT046,785.8659531450472
FDH33,OUT013,552.9162240223792
DRZ24,OUT013,1613.7949494732393
NCQ38,OUT046,1613.7949494732393
FDO16,OUT027,2152.8996341353186
FDU07,OUT027,3308.521497865687
NCB07,OUT013,2965.432169893039
FDU48,OUT045,1907.9810509173692
NCM43,OUT045,2439.6099393882596
FDR31,OUT010,217.070357833043
DRK49,OUT018,552.9162240223792
NCI30,OUT010,563.9924035517666
DRD60,OUT017,2965.432169893039
NCG19,OUT046,3635.4715226358394
FDH12,OUT035,1613.7949494732393
FDM32,OUT035,1273.7510595245035
