Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1478.8115751610942
FDW14,OUT017,1262.9610039317058
NCN55,OUT010,563.8126370520813
FDQ58,OUT017,2255.092556956641
FDY38,OUT027,6016.411302268783
FDH56,OUT046,1697.5786830271395
FDL48,OUT018,628.3774221732089
FDC48,OUT027,2164.565051784265
FDN33,OUT045,1410.784547900209
FDA36,OUT017,2745.9778362695833
FDT44,OUT017,1756.0323358619287
FDQ56,OUT045,1407.942986695969
NCC54,OUT019,545.7475603969507
FDU11,OUT049,1811.7299390923588
DRL59,OUT013,709.3783047112477
FDM24,OUT049,2242.6919712107715
FDI57,OUT045,2818.4293103380883
DRC12,OUT018,2720.6836356680933
NCM42,OUT027,2599.3307823847435
FDA46,OUT010,406.9454680591789
FDA31,OUT013,2570.2465556276175
NCJ31,OUT035,3517.6959114455335
FDG52,OUT046,704.448037681856
NCL19,OUT019,320.71675890240056
FDS10,OUT035,2819.705147640131
FDX22,OUT010,470.6212986581309
NCF19,OUT035,707.5770650385472
NCE06,OUT046,2306.1125776346203
DRC27,OUT046,3719.528811508562
FDE21,OUT035,1887.7886485597555
NCR42,OUT019,68.67101730248696
FDX51,OUT018,2737.1358265995777
NCR06,OUT018,417.716467203452
FDU31,OUT027,5570.59871304552
FDU59,OUT017,2313.6917368350305
FDR03,OUT027,5485.694577523899
FDS49,OUT027,2200.7423943493627
FDD48,OUT010,234.9147519563314
NCF18,OUT017,2906.5382465705125
NCD43,OUT027,2516.6653341591104
NCD54,OUT018,1747.6035634974073
FDY19,OUT010,219.13242544996763
NCY54,OUT017,2605.2833444684143
NCL19,OUT018,2042.0028812345083
FDP23,OUT010,461.97255327486664
FDC26,OUT013,1620.8259239531292
FDR14,OUT010,150.99111670205218
NCS41,OUT035,3035.67617946437
FDF41,OUT035,3531.9839566866194
FDU34,OUT046,1892.379939848224
DRH11,OUT046,781.4162551536995
FDM03,OUT013,1537.7185418681827
FDS31,OUT017,2949.3750491990845
FDJ20,OUT017,1764.6654670484018
FDV44,OUT027,4882.141526187062
FDG02,OUT049,2697.5640764746113
FDA09,OUT013,2802.8743444120546
FDT04,OUT013,561.6743336893576
FDL58,OUT019,521.3954383791182
FDE52,OUT045,1287.064500504661
FDW12,OUT035,2364.7925469495563
FDL51,OUT017,3214.4388675065193
NCY42,OUT027,3266.9480653715223
FDR07,OUT017,1414.4440515766375
FDN40,OUT045,2202.4166113395704
FDB35,OUT027,2432.5627805380195
FDA22,OUT017,2376.806049666992
NCL06,OUT046,3969.2197277804394
FDI35,OUT013,2932.207058319022
NCW42,OUT045,3492.965191526466
NCX06,OUT049,2795.149997083102
FDC37,OUT027,2506.854357916768
FDZ14,OUT018,1634.2512412667213
DRG49,OUT049,3784.727288135943
NCG06,OUT045,3853.0626005385584
DRC36,OUT045,2690.8071815610256
FDV21,OUT019,286.5824219375037
FDB53,OUT046,2450.3906744200494
DRP47,OUT019,561.9751592833403
FDA14,OUT013,2374.5210630564166
DRC24,OUT035,2401.5935920573243
FDW21,OUT018,1497.1495645375321
NCH29,OUT046,1489.602306606238
FDU58,OUT013,3010.728579407692
FDY27,OUT017,2623.2424996656046
FDV56,OUT035,1557.809149230648
FDT59,OUT046,3704.820596681746
FDB23,OUT046,3340.1985225013163
FDR49,OUT045,766.475146112367
FDB03,OUT010,536.3658242645764
FDN39,OUT045,2395.7332417745165
FDX02,OUT027,5550.028551940432
FDQ16,OUT027,2544.0706548283747
FDU35,OUT018,1371.5683592025457
NCT29,OUT013,1818.9831126661047
FDZ27,OUT046,741.5863147990223
FDN57,OUT017,1909.4223708316138
FDA03,OUT018,2069.262696699118
FDZ36,OUT045,3059.2426624797854
NCU05,OUT013,1220.7334423337786
FDT39,OUT018,2120.5763731727134
FDK60,OUT017,1466.2864161611708
FDZ25,OUT017,2712.9397551096517
FDG12,OUT046,1963.3168618079424
DRB01,OUT019,423.00363787430695
NCC43,OUT027,5796.901456819941
FDX13,OUT019,475.1059319857367
FDM22,OUT049,797.5711194684529
FDJ03,OUT027,1344.6175264394983
FDU14,OUT018,3353.399316120663
FDB33,OUT010,381.49800899989424
FDP27,OUT046,3010.799090576801
FDO38,OUT010,161.66004174683698
FDE28,OUT027,5912.391055484486
FDO27,OUT035,1446.5545464256459
DRL23,OUT027,2503.5237302823202
FDS28,OUT046,771.0668163616597
FDX24,OUT013,1282.5214399639792
FDZ02,OUT035,1403.2568569941225
FDL46,OUT045,1666.106055010156
FDS60,OUT027,4408.189884480973
NCO06,OUT017,478.3286692724366
FDO16,OUT035,1400.4836747641223
FDC60,OUT049,1392.1521417406955
FDA48,OUT018,3168.7870783254616
FDZ36,OUT027,4705.727664228433
FDK27,OUT045,1975.5938978395513
FDW23,OUT018,423.20884637809644
FDM14,OUT018,1408.9851208266073
FDM14,OUT013,1542.9396896974986
FDW60,OUT018,2471.525943688914
FDE21,OUT013,1857.732524803644
NCM42,OUT035,1653.9289861425857
FDY59,OUT010,185.39546456575476
DRI49,OUT049,1214.9539127436956
FDT28,OUT019,292.7399184776312
FDQ22,OUT018,395.70893412198205
FDR60,OUT049,1175.7285556290617
FDC50,OUT019,216.52366149341748
FDV24,OUT013,2209.1983905204847
DRF48,OUT010,444.6372627848233
FDQ47,OUT046,575.1858381326425
DRN36,OUT049,1453.7496697460956
NCY06,OUT035,1889.8173846682084
FDE52,OUT035,1290.5425116592041
NCB54,OUT045,1823.2189916925036
NCF31,OUT035,2243.4374702597
FDJ08,OUT027,5290.851204509319
NCC07,OUT017,1505.9109746887943
NCD19,OUT027,1517.665286242667
FDL46,OUT049,1695.7787997429998
FDM20,OUT045,3694.0617678721587
NCI06,OUT010,370.9117380803568
DRM11,OUT035,3874.585608000209
NCH07,OUT018,2237.099342313927
FDS23,OUT013,1919.790859905481
FDO49,OUT018,640.7676900392837
FDS35,OUT049,1031.1994361591862
DRK39,OUT045,1282.5756514604939
DRI39,OUT049,833.3643583014915
FDV04,OUT017,2314.774023376459
NCN14,OUT035,2936.5628515038848
FDH08,OUT013,3683.4718233585636
FDS20,OUT046,3072.9964525432065
FDV40,OUT049,1047.6711396542892
FDZ48,OUT010,221.97370500527444
FDS24,OUT027,2189.4844881300924
FDK44,OUT049,2563.7140834871193
FDS48,OUT045,2429.16612833278
FDK26,OUT010,460.8153289182951
FDD23,OUT045,2981.4962918177384
NCH54,OUT017,2521.4451306045057
NCP14,OUT010,203.45449753434502
FDM60,OUT010,72.47496530652661
FDV24,OUT017,2217.308657251533
FDH08,OUT018,2980.4314494858795
FDS12,OUT027,3217.169585073968
FDR39,OUT027,4522.730512204177
FDP12,OUT027,943.2347316474494
DRF60,OUT027,5689.472948358858
FDC09,OUT035,1582.130769430147
FDF50,OUT018,2795.2755820471675
FDG28,OUT035,3780.6019147047987
NCE19,OUT017,810.5337465647746
NCM53,OUT010,214.8916824836752
NCN18,OUT049,1596.1693019710183
FDF32,OUT035,2940.755872285422
FDF11,OUT013,3753.693261983016
DRI59,OUT049,3557.07199349412
NCG54,OUT035,2628.016665266429
FDM44,OUT046,1568.5064696594206
FDT57,OUT018,3050.085272331714
FDV24,OUT046,2228.7238032051746
FDI50,OUT019,486.23187446010803
FDS09,OUT035,736.2778606753778
NCC31,OUT027,3547.933608745459
FDQ07,OUT019,513.5270277428997
FDC22,OUT017,3065.641170109408
FDZ56,OUT046,2693.7573762694155
FDZ40,OUT019,147.80557650691318
FDS46,OUT027,2810.4268889767195
DRD24,OUT045,1972.8435901696841
FDV45,OUT017,2970.220986226375
FDL26,OUT045,2413.4507173685424
FDA56,OUT018,1729.876708206698
FDN27,OUT046,1718.231184408163
FDM20,OUT049,3756.780055614871
FDO16,OUT017,1391.4979482039657
FDL03,OUT035,2910.446656719899
FDE58,OUT046,1773.8651411691612
FDI02,OUT027,2929.93471678376
