Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1846.788620398584
FDW14,OUT017,1281.5617096257415
NCN55,OUT010,559.5690199647765
FDQ58,OUT017,2089.070203049238
FDY38,OUT027,5115.412768185428
FDH56,OUT046,1586.598000433678
FDL48,OUT018,735.1677374124665
FDC48,OUT027,1996.757840471564
FDN33,OUT045,1622.2236393003438
FDA36,OUT017,2521.5022024883974
FDT44,OUT017,1748.1291225932268
FDQ56,OUT045,1198.5823493871746
NCC54,OUT019,451.81789205315897
FDU11,OUT049,2135.8212885425405
DRL59,OUT013,696.7830527115533
FDM24,OUT049,2375.2925943700848
FDI57,OUT045,2907.842834134887
DRC12,OUT018,2641.1208760707127
NCM42,OUT027,3047.5085497215546
FDA46,OUT010,378.8286301788596
FDA31,OUT013,2726.359990803209
NCJ31,OUT035,2917.5308993906
FDG52,OUT046,772.3428764705873
NCL19,OUT019,374.2433220327908
FDS10,OUT035,2600.0337531875252
FDX22,OUT010,405.6297440632732
NCF19,OUT035,638.4779635295639
NCE06,OUT046,2008.4609557783133
DRC27,OUT046,3686.199978341284
FDE21,OUT035,1954.6796686348162
NCR42,OUT019,107.14246324955931
FDX51,OUT018,2413.0498725451953
NCR06,OUT018,588.8381569793081
FDU31,OUT027,5264.751936535346
FDU59,OUT017,2080.354194977046
FDR03,OUT027,4740.6380440067205
FDS49,OUT027,2132.9692764831925
FDD48,OUT010,206.56341539739404
NCF18,OUT017,3277.9024832604914
NCD43,OUT027,2648.1683869294775
NCD54,OUT018,2035.9276988099025
FDY19,OUT010,194.95836304955216
NCY54,OUT017,2448.390653342319
NCL19,OUT018,1823.5606289063587
FDP23,OUT010,565.009547470601
FDC26,OUT013,2092.088378625732
FDR14,OUT010,179.92342537102797
NCS41,OUT035,2964.9373631146423
FDF41,OUT035,3275.7717473537386
FDU34,OUT046,1718.8096362687434
DRH11,OUT046,982.0653141735158
FDM03,OUT013,1413.5477166976705
FDS31,OUT017,2872.762338046858
FDJ20,OUT017,1596.0362539032506
FDV44,OUT027,5013.26852404882
FDG02,OUT049,2210.536222593411
FDA09,OUT013,2758.0561839132947
FDT04,OUT013,702.7614016695122
FDL58,OUT019,507.4162213322412
FDE52,OUT045,1518.660780181673
FDW12,OUT035,2308.0665502436923
FDL51,OUT017,2900.4082690786413
NCY42,OUT027,3971.2194762683853
FDR07,OUT017,1430.6346846801748
FDN40,OUT045,1577.2534685404526
FDB35,OUT027,2404.182029465704
FDA22,OUT017,2088.6260247365376
NCL06,OUT046,3592.660238315263
FDI35,OUT013,2583.0334540177855
NCW42,OUT045,3609.6336088629764
NCX06,OUT049,2702.9188575660246
FDC37,OUT027,2891.5298498687857
FDZ14,OUT018,1773.9835089471646
DRG49,OUT049,3400.652690325433
NCG06,OUT045,3444.185322499924
DRC36,OUT045,2440.152399581556
FDV21,OUT019,341.45563431436364
FDB53,OUT046,2596.9444319714444
DRP47,OUT019,505.7235538292391
FDA14,OUT013,2082.698843751343
DRC24,OUT035,2640.8619458044805
FDW21,OUT018,1589.2405282304364
NCH29,OUT046,1890.8417142698513
FDU58,OUT013,2713.6879406024154
FDY27,OUT017,2059.63852647755
FDV56,OUT035,1623.7889125213787
FDT59,OUT046,3486.3412198144847
FDB23,OUT046,3562.4987695881855
FDR49,OUT045,766.6058919838865
FDB03,OUT010,615.2391948954706
FDN39,OUT045,2714.3198092582656
FDX02,OUT027,6142.041486261811
FDQ16,OUT027,2959.3934703315335
FDU35,OUT018,1343.3638667963808
NCT29,OUT013,1949.5312251487146
FDZ27,OUT046,795.4245269987996
FDN57,OUT017,2221.773359027117
FDA03,OUT018,1720.3341087061976
FDZ36,OUT045,3170.838239457373
NCU05,OUT013,1241.3284093379816
FDT39,OUT018,2210.8790671797624
FDK60,OUT017,1514.9986206580531
FDZ25,OUT017,2732.632235704394
FDG12,OUT046,1998.0665593785027
DRB01,OUT019,327.48301789440956
NCC43,OUT027,4808.163731410072
FDX13,OUT019,494.09027565927977
FDM22,OUT049,684.9486924532091
FDJ03,OUT027,1669.0180983032608
FDU14,OUT018,3051.279418501164
FDB33,OUT010,308.30162607312064
FDP27,OUT046,3229.47267229618
FDO38,OUT010,209.46703960008296
FDE28,OUT027,5397.14750820787
FDO27,OUT035,1394.3989151870207
DRL23,OUT027,3043.51353270623
FDS28,OUT046,953.3135453240442
FDX24,OUT013,929.8230652671796
FDZ02,OUT035,1556.366697306298
FDL46,OUT045,1718.905135261854
FDS60,OUT027,3694.296533587479
NCO06,OUT017,755.8900482003049
FDO16,OUT035,1347.99719680828
FDC60,OUT049,1645.162533199097
FDA48,OUT018,2730.882848889093
FDZ36,OUT027,4675.560155187211
FDK27,OUT045,1952.3016684367344
FDW23,OUT018,851.5932245396608
FDM14,OUT018,1437.6351175197574
FDM14,OUT013,1871.123166327904
FDW60,OUT018,2293.2086551939824
FDE21,OUT013,1421.5051005430569
NCM42,OUT035,2026.1231271886209
FDY59,OUT010,187.0774382169716
DRI49,OUT049,1343.1358179579079
FDT28,OUT019,336.9662338362233
FDQ22,OUT018,545.306228377841
FDR60,OUT049,1085.3822119144409
FDC50,OUT019,255.45177588766623
FDV24,OUT013,2570.6718109949766
DRF48,OUT010,412.10336699220585
FDQ47,OUT046,773.7221749197538
DRN36,OUT049,1644.0389740803696
NCY06,OUT035,1902.8740145377205
FDE52,OUT035,1663.9714536651895
NCB54,OUT045,1585.504161175792
NCF31,OUT035,2531.2507749320257
FDJ08,OUT027,5609.822584056637
NCC07,OUT017,1684.0945866078075
NCD19,OUT027,1438.7440867706212
FDL46,OUT049,1995.84438721802
FDM20,OUT045,3040.792752191235
NCI06,OUT010,419.28557433099473
DRM11,OUT035,3149.5153817290684
NCH07,OUT018,1903.9755947505123
FDS23,OUT013,2677.1888579476017
FDO49,OUT018,745.9581483407815
FDS35,OUT049,854.3453768652636
DRK39,OUT045,1328.4602375768704
DRI39,OUT049,1032.3754371725577
FDV04,OUT017,2061.3182723386963
NCN14,OUT035,2390.7689663863084
FDH08,OUT013,3679.9666524077447
FDS20,OUT046,3233.6892274623474
FDV40,OUT049,1072.220406296376
FDZ48,OUT010,208.02496479657086
FDS24,OUT027,2576.5410011801528
FDK44,OUT049,2514.7582696801073
FDS48,OUT045,2314.8619037152325
FDK26,OUT010,493.0304168942815
FDD23,OUT045,2964.2129915566607
NCH54,OUT017,2731.8298006865853
NCP14,OUT010,268.1135028399309
FDM60,OUT010,111.34371306989026
FDV24,OUT017,1646.1379419102268
