Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1460.335172888879
FDW14,OUT017,1287.0572959297501
NCN55,OUT010,540.9710628508286
FDQ58,OUT017,2343.8678258910127
FDY38,OUT027,4687.579244259466
FDH56,OUT046,1571.5872287341174
FDL48,OUT018,734.8497217210415
FDC48,OUT027,1599.4223909428863
FDN33,OUT045,1445.2009861988154
FDA36,OUT017,2738.5829263746273
FDT44,OUT017,1571.5872287341174
FDQ56,OUT045,1287.0572959297501
NCC54,OUT019,539.0532359269648
FDU11,OUT049,1628.8591215591237
DRL59,OUT013,752.0996833151002
FDM24,OUT049,2236.825952228171
FDI57,OUT045,2738.5829263746273
DRC12,OUT018,2619.5900491364755
NCM42,OUT027,1816.402505880569
FDA46,OUT010,480.62466092909176
FDA31,OUT013,2590.321604849917
NCJ31,OUT035,2986.655766257396
FDG52,OUT046,752.0996833151002
NCL19,OUT019,324.72083949726164
FDS10,OUT035,2733.8560223086442
FDX22,OUT010,522.6079949832362
NCF19,OUT035,752.0996833151002
NCE06,OUT046,2413.926428752572
DRC27,OUT046,2986.655766257396
FDE21,OUT035,1571.5872287341174
NCR42,OUT019,113.6195658467298
FDX51,OUT018,2619.5900491364755
NCR06,OUT018,734.8497217210415
FDU31,OUT027,4656.201536924591
FDU59,OUT017,2491.36525151629
FDR03,OUT027,4656.201536924591
FDS49,OUT027,1551.2799565205103
FDD48,OUT010,257.4965250883498
NCF18,OUT017,2738.5829263746273
NCD43,OUT027,1746.1869387454703
NCD54,OUT018,1679.552662452492
FDY19,OUT010,257.4965250883498
NCY54,OUT017,2590.321604849917
NCL19,OUT018,2217.913302591025
FDP23,OUT010,522.6079949832362
FDC26,OUT013,1541.061403122243
FDR14,OUT010,184.1598683195836
NCS41,OUT035,2738.5829263746273
FDF41,OUT035,2986.655766257396
FDU34,OUT046,1673.625292903107
DRH11,OUT046,780.362989044025
FDM03,OUT013,1460.335172888879
FDS31,OUT017,2733.8560223086442
FDJ20,OUT017,1628.8591215591237
FDV44,OUT027,4545.518711758744
FDG02,OUT049,2738.5829263746273
FDA09,OUT013,2619.5900491364755
FDT04,OUT013,752.0996833151002
FDL58,OUT019,547.3928620205694
FDE52,OUT045,1287.0572959297501
FDW12,OUT035,2236.825952228171
FDL51,OUT017,2835.1399492712253
NCY42,OUT027,2268.3660786915225
FDR07,OUT017,1445.2009861988154
FDN40,OUT045,2236.825952228171
FDB35,OUT027,1677.458602046238
FDA22,OUT017,2491.36525151629
NCL06,OUT046,2986.655766257396
FDI35,OUT013,2733.8560223086442
NCW42,OUT045,2843.449557333273
NCX06,OUT049,2619.5900491364755
FDC37,OUT027,1816.402505880569
FDZ14,OUT018,1628.8591215591237
DRG49,OUT049,2986.655766257396
NCG06,OUT045,2986.655766257396
DRC36,OUT045,2590.321604849917
FDV21,OUT019,285.54483667278765
FDB53,OUT046,2236.825952228171
DRP47,OUT019,540.9710628508286
FDA14,OUT013,2236.825952228171
DRC24,OUT035,2236.825952228171
FDW21,OUT018,1445.2009861988154
NCH29,OUT046,1445.2009861988154
FDU58,OUT013,2738.5829263746273
FDY27,OUT017,2619.5900491364755
FDV56,OUT035,1473.2981189201064
FDT59,OUT046,2894.900292159599
FDB23,OUT046,2843.449557333273
FDR49,OUT045,752.0996833151002
FDB03,OUT010,539.0532359269648
FDN39,OUT045,2491.36525151629
FDX02,OUT027,4656.201536924591
FDQ16,OUT027,1816.402505880569
FDU35,OUT018,1445.2009861988154
NCT29,OUT013,1628.8591215591237
FDZ27,OUT046,752.0996833151002
FDN57,OUT017,1673.625292903107
FDA03,OUT018,2217.913302591025
FDZ36,OUT045,2738.5829263746273
NCU05,OUT013,1237.1477229559853
FDT39,OUT018,2217.913302591025
FDK60,OUT017,1445.2009861988154
FDZ25,OUT017,2491.36525151629
FDG12,OUT046,1628.8591215591237
DRB01,OUT019,480.62466092909176
NCC43,OUT027,4772.219511092149
FDX13,OUT019,540.9710628508286
FDM22,OUT049,770.3733910182882
FDJ03,OUT027,801.980477116955
FDU14,OUT018,2884.2575728747597
FDB33,OUT010,350.6581247332694
FDP27,OUT046,2738.5829263746273
FDO38,OUT010,199.95639504994392
FDE28,OUT027,4687.579244259466
FDO27,OUT035,1445.2009861988154
DRL23,OUT027,1816.402505880569
FDS28,OUT046,780.362989044025
FDX24,OUT013,1405.5740429524828
FDZ02,OUT035,1445.2009861988154
FDL46,OUT045,1571.5872287341174
FDS60,OUT027,3794.705984604762
NCO06,OUT017,752.0996833151002
FDO16,OUT035,1287.0572959297501
FDC60,OUT049,1287.0572959297501
FDA48,OUT018,2739.5684313741626
FDZ36,OUT027,3540.375037768293
FDK27,OUT045,1628.8591215591237
FDW23,OUT018,734.8497217210415
FDM14,OUT018,1530.7888145011625
FDM14,OUT013,1460.335172888879
FDW60,OUT018,2518.259804787579
FDE21,OUT013,1571.5872287341174
NCM42,OUT035,1473.2981189201064
FDY59,OUT010,229.53744880863755
DRI49,OUT049,1246.2824068184887
FDT28,OUT019,346.9407128825383
FDQ22,OUT018,734.8497217210415
FDR60,OUT049,1168.6998239161355
FDC50,OUT019,227.28537613903856
FDV24,OUT013,2236.825952228171
DRF48,OUT010,475.9562917242806
FDQ47,OUT046,752.0996833151002
DRN36,OUT049,1445.2009861988154
NCY06,OUT035,1673.625292903107
FDE52,OUT035,1287.0572959297501
NCB54,OUT045,1673.625292903107
NCF31,OUT035,2236.825952228171
FDJ08,OUT027,4545.518711758744
NCC07,OUT017,1445.2009861988154
NCD19,OUT027,1213.3845959443934
FDL46,OUT049,1571.5872287341174
FDM20,OUT045,2986.655766257396
NCI06,OUT010,410.7981488022382
DRM11,OUT035,2986.655766257396
NCH07,OUT018,2380.0857770560306
FDS23,OUT013,1673.625292903107
FDO49,OUT018,734.8497217210415
FDS35,OUT049,860.0106755372074
DRK39,OUT045,1287.0572959297501
DRI39,OUT049,780.362989044025
FDV04,OUT017,2380.0857770560306
NCN14,OUT035,2738.5829263746273
FDH08,OUT013,2894.900292159599
FDS20,OUT046,2738.5829263746273
FDV40,OUT049,988.2678573051492
FDZ48,OUT010,241.93567997726336
FDS24,OUT027,1677.458602046238
FDK44,OUT049,2590.321604849917
FDS48,OUT045,2236.825952228171
FDK26,OUT010,476.71478442874377
FDD23,OUT045,2738.5829263746273
NCH54,OUT017,2413.926428752572
