Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1661.0228328765982
FDW14,OUT017,1309.6496018207965
NCN55,OUT010,553.7066845933035
FDQ58,OUT017,2527.0651588815554
FDY38,OUT027,6006.994017228728
FDH56,OUT046,1666.0743266080226
FDL48,OUT018,641.3162801889958
FDC48,OUT027,2255.5121797562797
FDN33,OUT045,1318.26969690839
FDA36,OUT017,2468.648466004858
FDT44,OUT017,1785.7751917511573
FDQ56,OUT045,1455.4800367741464
NCC54,OUT019,538.3579097693115
FDU11,OUT049,1914.2952723519265
DRL59,OUT013,730.970670455577
FDM24,OUT049,2197.1235068852206
FDI57,OUT045,2769.4969944554164
DRC12,OUT018,2602.1054796589924
NCM42,OUT027,2221.5364840827724
FDA46,OUT010,381.1314358135366
FDA31,OUT013,2746.257783820522
NCJ31,OUT035,3579.105998720673
FDG52,OUT046,710.741065184133
NCL19,OUT019,313.9599509360623
FDS10,OUT035,2953.9537980281348
FDX22,OUT010,547.4324770009335
NCF19,OUT035,734.5010342605799
NCE06,OUT046,2022.2169853472603
DRC27,OUT046,3603.600969097466
FDE21,OUT035,2052.6995683531554
NCR42,OUT019,36.856538516215586
FDX51,OUT018,2533.0978750140193
NCR06,OUT018,435.3980558209306
FDU31,OUT027,5429.331405844162
FDU59,OUT017,2040.869596907578
FDR03,OUT027,5002.009219326276
FDS49,OUT027,2522.263591244832
FDD48,OUT010,232.47832240415246
NCF18,OUT017,2889.045073977501
NCD43,OUT027,2350.0939981091033
NCD54,OUT018,1779.5887026013008
FDY19,OUT010,217.31304494274602
NCY54,OUT017,2768.4471120738017
NCL19,OUT018,2007.753480136911
FDP23,OUT010,430.92331665161515
FDC26,OUT013,1636.5778546935815
FDR14,OUT010,133.38653579520434
NCS41,OUT035,3105.0643754205234
FDF41,OUT035,3389.9136022880125
FDU34,OUT046,1850.9536106505057
DRH11,OUT046,918.6322674800588
FDM03,OUT013,1621.1936476753813
FDS31,OUT017,2983.5537137356764
FDJ20,OUT017,1885.5717055968855
FDV44,OUT027,4912.341347123413
FDG02,OUT049,2607.2558497602176
FDA09,OUT013,2857.448995857636
FDT04,OUT013,511.0097942035341
FDL58,OUT019,674.0943766993204
FDE52,OUT045,1362.0942650163522
FDW12,OUT035,2309.9547754710816
FDL51,OUT017,3538.2897050983297
NCY42,OUT027,3103.2357600240875
FDR07,OUT017,1241.8446499254674
FDN40,OUT045,1929.6890544473758
FDB35,OUT027,2295.3571449622377
FDA22,OUT017,2319.5213627650933
NCL06,OUT046,4143.772328107779
FDI35,OUT013,3192.0697029093535
NCW42,OUT045,3541.3468014223035
NCX06,OUT049,2761.184408090732
FDC37,OUT027,2603.404997823805
FDZ14,OUT018,1698.8885775391213
DRG49,OUT049,3921.243844213799
NCG06,OUT045,3165.8165620006894
DRC36,OUT045,2666.857034826242
FDV21,OUT019,383.4046456240535
FDB53,OUT046,2553.485682544163
DRP47,OUT019,490.85110242336606
FDA14,OUT013,2302.388280626217
DRC24,OUT035,2506.6426803424247
FDW21,OUT018,1410.154302456611
NCH29,OUT046,1510.82052804888
FDU58,OUT013,3098.00571765795
FDY27,OUT017,2406.8568736304173
FDV56,OUT035,1633.7289230735155
FDT59,OUT046,3720.6702165144748
FDB23,OUT046,3692.6157626738145
FDR49,OUT045,710.8419081396524
FDB03,OUT010,487.9889587411236
FDN39,OUT045,2299.058592680349
FDX02,OUT027,5474.232899006166
FDQ16,OUT027,2500.962846073597
FDU35,OUT018,1355.7847405260777
NCT29,OUT013,1923.4862064703193
FDZ27,OUT046,717.7786982140116
FDN57,OUT017,1878.4752286335583
FDA03,OUT018,2043.2708432114832
FDZ36,OUT045,2924.4223804015924
NCU05,OUT013,1034.2227080524956
FDT39,OUT018,2048.0275371896937
FDK60,OUT017,1516.2987778637018
FDZ25,OUT017,2843.8081847049584
FDG12,OUT046,2016.288281936981
DRB01,OUT019,309.73047260226235
NCC43,OUT027,5639.247851111367
FDX13,OUT019,475.19652281508377
FDM22,OUT049,830.7678101360838
FDJ03,OUT027,1304.0849933447225
FDU14,OUT018,3456.291666750816
FDB33,OUT010,374.4806187474913
FDP27,OUT046,3097.165826033575
FDO38,OUT010,150.25876210589692
FDE28,OUT027,5752.564488132759
FDO27,OUT035,1543.2324897457218
DRL23,OUT027,2542.7903154326427
FDS28,OUT046,868.9465006711326
FDX24,OUT013,1181.5388614626943
FDZ02,OUT035,1362.8041428890444
FDL46,OUT045,1585.4476693326944
FDS60,OUT027,3935.1962724424257
NCO06,OUT017,402.74647525063864
FDO16,OUT035,1605.5166297237224
FDC60,OUT049,1413.5006110777258
FDA48,OUT018,2806.0627229778656
FDZ36,OUT027,4345.955674685352
FDK27,OUT045,1828.704833333764
FDW23,OUT018,490.504366100617
FDM14,OUT018,1335.8181893384292
FDM14,OUT013,1701.0349739603241
FDW60,OUT018,2066.149197222675
FDE21,OUT013,1951.0110430714901
NCM42,OUT035,1756.1623186564077
FDY59,OUT010,209.77059206359849
DRI49,OUT049,1249.356105657299
FDT28,OUT019,279.8604478083372
FDQ22,OUT018,413.3085287128892
FDR60,OUT049,1104.7109461545683
FDC50,OUT019,209.6962270461793
FDV24,OUT013,1929.3906421505767
DRF48,OUT010,417.18550817146445
FDQ47,OUT046,666.3405866269271
DRN36,OUT049,1500.5868702311557
NCY06,OUT035,2027.1768684776114
FDE52,OUT035,1362.4620663563244
NCB54,OUT045,1759.80537194811
NCF31,OUT035,2321.975920983717
