Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1372.953640051811
FDW14,OUT017,1336.7795413366919
NCN55,OUT010,560.6571791191382
FDQ58,OUT017,2359.363578581684
FDY38,OUT027,5730.875120382068
FDH56,OUT046,1732.70091117837
FDL48,OUT018,572.1687333450224
FDC48,OUT027,2277.867270681657
FDN33,OUT045,1368.7761807926192
FDA36,OUT017,2923.237463464869
FDT44,OUT017,1804.202411444341
FDQ56,OUT045,1270.7215219433108
NCC54,OUT019,554.3035741054982
FDU11,OUT049,1845.3918338430078
DRL59,OUT013,802.7808388876872
FDM24,OUT049,2257.2186524833346
FDI57,OUT045,2790.7407790285224
DRC12,OUT018,2630.334351625382
NCM42,OUT027,2429.519352233066
FDA46,OUT010,458.0464893856934
FDA31,OUT013,2651.760754383767
NCJ31,OUT035,3682.3281305723826
FDG52,OUT046,715.560593450347
NCL19,OUT019,302.2986717420965
FDS10,OUT035,2864.3285500491393
FDX22,OUT010,493.4971973127072
NCF19,OUT035,734.7801787668491
NCE06,OUT046,2332.579900936942
DRC27,OUT046,3587.5850588985736
FDE21,OUT035,1892.1339202149152
NCR42,OUT019,55.802505744176244
FDX51,OUT018,2617.2281423568993
NCR06,OUT018,429.6418488900751
FDU31,OUT027,5363.43945267949
FDU59,OUT017,2527.6997548171466
FDR03,OUT027,5228.6002004719385
FDS49,OUT027,2137.4775158128455
FDD48,OUT010,254.29793671784617
NCF18,OUT017,2958.153006884779
NCD43,OUT027,2591.9813112090283
NCD54,OUT018,1621.0162671294697
FDY19,OUT010,251.60490909821002
NCY54,OUT017,2747.2809356247517
NCL19,OUT018,2031.389226295842
FDP23,OUT010,481.55457254281487
FDC26,OUT013,1686.781530876049
FDR14,OUT010,158.0209159885412
NCS41,OUT035,3016.9586833137064
FDF41,OUT035,3669.3296941988124
FDU34,OUT046,1858.1782679107891
DRH11,OUT046,823.7301944016475
FDM03,OUT013,1561.6071634322466
FDS31,OUT017,2913.914217980274
FDJ20,OUT017,1848.3849815043477
FDV44,OUT027,5085.153743453376
FDG02,OUT049,2865.1497839942945
FDA09,OUT013,2738.013653074206
FDT04,OUT013,588.5435110689006
FDL58,OUT019,538.9935512470458
FDE52,OUT045,1274.5333813673578
FDW12,OUT035,2376.7292182516517
FDL51,OUT017,3185.384980015113
NCY42,OUT027,3238.359366764751
FDR07,OUT017,1244.043046723522
FDN40,OUT045,2184.0642852701044
FDB35,OUT027,2402.5617275626128
FDA22,OUT017,2591.263292548742
NCL06,OUT046,3768.7694991690205
FDI35,OUT013,2844.6393551038664
NCW42,OUT045,3390.008885321359
NCX06,OUT049,2721.3301692754085
FDC37,OUT027,2643.9853880886185
FDZ14,OUT018,1621.096424600252
DRG49,OUT049,3551.779618809499
NCG06,OUT045,3647.5833241730297
DRC36,OUT045,2703.492032316778
FDV21,OUT019,280.3541516566731
FDB53,OUT046,2364.174706678763
DRP47,OUT019,586.6224108961143
FDA14,OUT013,2300.497683794152
DRC24,OUT035,2441.798914211468
FDW21,OUT018,1304.4974932407883
NCH29,OUT046,1437.4635861499414
FDU58,OUT013,2934.0114761388595
FDY27,OUT017,2717.936451374365
FDV56,OUT035,1627.9209839758632
FDT59,OUT046,3633.6473847754573
FDB23,OUT046,3460.028503135816
FDR49,OUT045,704.8895259723411
FDB03,OUT010,564.6080576411292
FDN39,OUT045,2489.752931808568
FDX02,OUT027,5505.107026579516
FDQ16,OUT027,2550.5704700148963
FDU35,OUT018,1283.2810350587147
NCT29,OUT013,1908.8887239326862
FDZ27,OUT046,715.6681112057378
FDN57,OUT017,1977.6923444163517
FDA03,OUT018,1983.23310094159
FDZ36,OUT045,2855.567816658094
NCU05,OUT013,1237.4849547574688
FDT39,OUT018,1956.8147036159335
FDK60,OUT017,1451.7912300884993
FDZ25,OUT017,2697.602994939516
FDG12,OUT046,1898.782677904123
DRB01,OUT019,435.50711843716886
NCC43,OUT027,5636.9598158019
FDX13,OUT019,591.867026958485
FDM22,OUT049,833.5200572114812
FDJ03,OUT027,1287.0819572117823
FDU14,OUT018,3497.6591768688786
FDB33,OUT010,359.594871303696
FDP27,OUT046,2896.2596342810334
FDO38,OUT010,191.22347136154565
FDE28,OUT027,5510.6604684294925
FDO27,OUT035,1457.9641185386558
DRL23,OUT027,2547.660730105503
FDS28,OUT046,826.0376642520033
FDX24,OUT013,1396.6040828739708
FDZ02,OUT035,1467.294132289992
FDL46,OUT045,1646.7185310039622
FDS60,OUT027,4255.375517837965
NCO06,OUT017,538.7064920529534
FDO16,OUT035,1330.1784502085004
FDC60,OUT049,1272.230172553769
FDA48,OUT018,3160.64235167777
FDZ36,OUT027,4635.801745707811
FDK27,OUT045,1917.23995396836
FDW23,OUT018,432.24662743438023
FDM14,OUT018,1467.111572166205
FDM14,OUT013,1581.7466824941182
FDW60,OUT018,2334.6952813401585
FDE21,OUT013,1815.7787295148455
NCM42,OUT035,1603.5401894642825
FDY59,OUT010,198.0265143085343
DRI49,OUT049,1297.244974042096
FDT28,OUT019,334.0048791149732
FDQ22,OUT018,409.88424882243976
FDR60,OUT049,1160.2838947178036
FDC50,OUT019,202.63495521955167
FDV24,OUT013,2204.365055715461
DRF48,OUT010,405.6069584203196
FDQ47,OUT046,582.5422918246653
DRN36,OUT049,1406.3368708503888
NCY06,OUT035,1987.8143845944476
FDE52,OUT035,1343.1787360783069
NCB54,OUT045,1840.6155690638345
NCF31,OUT035,2322.2974056111284
FDJ08,OUT027,5046.422997460381
NCC07,OUT017,1514.6930606135952
NCD19,OUT027,1373.5833755425704
FDL46,OUT049,1667.1132420801898
FDM20,OUT045,3557.814850654189
NCI06,OUT010,420.20820968633615
DRM11,OUT035,3732.31833885978
NCH07,OUT018,2194.260386610899
FDS23,OUT013,1888.8426655367552
FDO49,OUT018,555.0541167178848
FDS35,OUT049,994.9871130086234
DRK39,OUT045,1254.213351758811
DRI39,OUT049,837.7486966775942
FDV04,OUT017,2498.9065545879857
NCN14,OUT035,2984.742673372375
FDH08,OUT013,3540.1724105249964
FDS20,OUT046,2867.6390936632743
FDV40,OUT049,1046.9787552778703
FDZ48,OUT010,248.44407673720403
FDS24,OUT027,2119.9250134235244
FDK44,OUT049,2684.8280232922452
FDS48,OUT045,2339.226891551999
FDK26,OUT010,421.01329548894745
FDD23,OUT045,2897.570943610524
NCH54,OUT017,2546.131075860499
NCP14,OUT010,219.36212832445614
FDM60,OUT010,74.06545876899645
FDV24,OUT017,2282.0813580323256
FDH08,OUT018,3106.120505700745
FDS12,OUT027,3163.9732303637534
FDR39,OUT027,4826.111282104924
FDP12,OUT027,956.8599520017711
DRF60,OUT027,5497.35219232894
FDC09,OUT035,1610.91419137998
FDF50,OUT018,2634.495326967058
FDG28,OUT035,3720.171741000556
NCE19,OUT017,852.3590213762301
NCM53,OUT010,237.06114817640375
NCN18,OUT049,1661.3505296246399
FDF32,OUT035,3063.7141743598963
FDF11,OUT013,3647.4411907974873
DRI59,OUT049,3497.7341800808886
NCG54,OUT035,2653.9419650634804
FDM44,OUT046,1558.9623656079434
FDT57,OUT018,3218.9241291239905
FDV24,OUT046,2208.674838815961
FDI50,OUT019,516.4374355215533
FDS09,OUT035,759.2816335261376
NCC31,OUT027,3714.364978227291
FDQ07,OUT019,508.2988222830053
FDC22,OUT017,3016.6143621941524
FDZ56,OUT046,2616.4172945796786
FDZ40,OUT019,142.44491288614907
FDS46,OUT027,2861.7843670515167
DRD24,OUT045,1991.8671773941533
FDV45,OUT017,3090.1004589063236
FDL26,OUT045,2288.7054675844506
FDA56,OUT018,1638.311929162747
FDN27,OUT046,1515.292799432671
FDM20,OUT049,3591.8679246904917
FDO16,OUT017,1330.1784502085004
FDL03,OUT035,3043.9823730124413
FDE58,OUT046,1682.688086664376
FDI02,OUT027,2851.4361390817917
NCC55,OUT019,76.44155456982715
FDR03,OUT018,2891.806504521096
FDB14,OUT017,1447.151621893778
FDR45,OUT013,3635.3807077587935
NCN07,OUT017,1997.0350272210353
FDM51,OUT019,217.02677513829732
FDT52,OUT027,5643.593655699863
FDL26,OUT046,2314.094486436916
NCZ42,OUT046,3619.3721328340175
DRI47,OUT019,339.5328112413943
FDW40,OUT013,2000.380469195377
FDN34,OUT046,2584.467912916973
FDS01,OUT035,2806.540466196002
NCG55,OUT045,1758.8986942467222
FDC11,OUT035,1270.6384756864466
FDX35,OUT018,3215.6899484042906
NCB06,OUT046,2441.875509458986
FDR09,OUT019,563.0544636372899
FDC53,OUT017,1460.7829147504458
FDY45,OUT013,3887.2342617916597
FDA22,OUT010,355.4931621482327
FDE02,OUT035,1465.9534924850418
FDW21,OUT045,1529.429007380747
FDV34,OUT046,1033.3865342612326
FDS59,OUT049,1587.05016363301
NCW17,OUT017,2011.934329528373
NCK54,OUT046,1777.2919809214914
FDG17,OUT019,571.4691512858271
FDG35,OUT017,2216.8768672512415
FDD08,OUT010,69.40422022860172
NCO07,OUT017,3307.8858124245544
FDJ10,OUT010,322.5346731056026
FDW36,OUT017,1566.4319431734295
FDW21,OUT010,216.9158717369603
FDY19,OUT017,1778.2946836607396
DRE03,OUT013,702.6178118815914
NCC55,OUT049,569.6924753401355
FDH52,OUT010,161.5042609782749
FDO09,OUT017,3992.1966796928386
FDU43,OUT045,3513.919546088699
FDX09,OUT010,395.41325077394254
FDH40,OUT019,188.34686941001877
FDW58,OUT017,1391.5219770754372
FDC47,OUT017,3706.1790906437795
NCR41,OUT035,1454.8632533706427
