Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1501.1605249561683
FDW14,OUT017,1302.8912819929055
NCN55,OUT010,559.381528071393
FDQ58,OUT017,2378.760525254301
FDY38,OUT027,5917.0966648525755
FDH56,OUT046,1698.6393944134215
FDL48,OUT018,613.4563720580489
FDC48,OUT027,2232.287014058588
FDN33,OUT045,1365.5936646553482
FDA36,OUT017,2708.268124817472
FDT44,OUT017,1781.9295123119196
FDQ56,OUT045,1376.537480992319
NCC54,OUT019,546.1104507092949
FDU11,OUT049,1856.8135008850934
DRL59,OUT013,747.0101111188649
FDM24,OUT049,2232.246497770171
FDI57,OUT045,2792.8411535865334
DRC12,OUT018,2650.721348085297
NCM42,OUT027,2413.4829980504733
FDA46,OUT010,414.56584322550003
FDA31,OUT013,2655.439871543892
NCJ31,OUT035,3592.6165360240357
FDG52,OUT046,710.2401771607157
NCL19,OUT019,312.2630828033566
FDS10,OUT035,2878.969830323379
FDX22,OUT010,503.17405922031065
NCF19,OUT035,725.5441234531406
NCE06,OUT046,2217.2629514508317
DRC27,OUT046,3636.5900479605757
FDE21,OUT035,1943.2127516836133
NCR42,OUT019,52.654344512198996
FDX51,OUT018,2628.2681509258273
NCR06,OUT018,427.5430221092337
FDU31,OUT027,5454.001733438417
FDU59,OUT017,2288.2590572376203
FDR03,OUT027,5236.286168749004
FDS49,OUT027,2282.7885398000967
FDD48,OUT010,240.43352710316648
NCF18,OUT017,2917.8140721910286
NCD43,OUT027,2484.8633037996306
NCD54,OUT018,1715.1462529433675
FDY19,OUT010,228.99833449081584
NCY54,OUT017,2706.3509766173142
NCL19,OUT018,2027.01477370188
FDP23,OUT010,457.8315331096547
FDC26,OUT013,1647.9025964731547
FDR14,OUT010,147.21850673499262
NCS41,OUT035,3052.4101769722215
FDF41,OUT035,3529.179354241636
FDU34,OUT046,1867.1125192838547
DRH11,OUT046,839.9739367509355
FDM03,OUT013,1573.246893853303
FDS31,OUT017,2948.856271894769
FDJ20,OUT017,1832.40585078095
FDV44,OUT027,4959.344706894376
FDG02,OUT049,2721.9354919777447
FDA09,OUT013,2799.1615495954147
FDT04,OUT013,553.1124122675782
FDL58,OUT019,575.5813681494092
FDE52,OUT045,1307.5203424496387
FDW12,OUT035,2350.3717741091177
FDL51,OUT017,3310.1751466630194
NCY42,OUT027,3202.3130015770016
FDR07,OUT017,1298.4727911536563
FDN40,OUT045,2102.8772518021547
FDB35,OUT027,2376.3367915976187
FDA22,OUT017,2427.347135633263
NCL06,OUT046,3958.606556210712
FDI35,OUT013,2987.244128420512
NCW42,OUT045,3474.389940373714
NCX06,OUT049,2759.1115009390164
FDC37,OUT027,2584.3191370407662
FDZ14,OUT018,1651.1804095959715
DRG49,OUT049,3750.5009484266247
NCG06,OUT045,3547.5296817739368
DRC36,OUT045,2687.023427135795
FDV21,OUT019,314.5529506382115
FDB53,OUT046,2455.205385116324
DRP47,OUT019,545.4531995908605
FDA14,OUT013,2325.6331432417433
DRC24,OUT035,2449.7575674367245
FDW21,OUT018,1402.4530086127522
NCH29,OUT046,1479.0802181910376
FDU58,OUT013,3013.752594501858
FDY27,OUT017,2580.461484237785
FDV56,OUT035,1606.2372711459766
FDT59,OUT046,3686.249434939552
FDB23,OUT046,3495.590112690695
FDR49,OUT045,727.0545595398063
FDB03,OUT010,529.0168719941438
FDN39,OUT045,2394.0039665730073
FDX02,OUT027,5509.730942312199
FDQ16,OUT027,2531.803983640388
FDU35,OUT018,1336.5057835692987
NCT29,OUT013,1883.4047164040098
FDZ27,OUT046,724.9479297482405
FDN57,OUT017,1921.566779305185
FDA03,OUT018,2031.7083380844804
FDZ36,OUT045,2945.605934525926
NCU05,OUT013,1161.636002405507
FDT39,OUT018,2041.0711536796057
FDK60,OUT017,1477.9542526871562
FDZ25,OUT017,2750.9334221906247
FDG12,OUT046,1959.0691189831648
DRB01,OUT019,386.4937482992967
NCC43,OUT027,5690.709775350207
FDX13,OUT019,512.1669020732353
FDM22,OUT049,820.5104071341904
FDJ03,OUT027,1311.7808261387897
FDU14,OUT018,3435.424788254669
FDB33,OUT010,371.7826400492879
FDP27,OUT046,3000.653972153561
FDO38,OUT010,167.1355094531169
FDE28,OUT027,5723.610694638577
FDO27,OUT035,1482.1697207175484
DRL23,OUT027,2531.273363321951
FDS28,OUT046,821.362898708109
